CaptureSignal II -  INSA de Lyon - MATEIS / SGM - JF -  2010																					
Utilisateur: 																					
																					
Description: 																					
																					
N?	Date	Heure	Temps (s)	Voie 0 U(V)	Voie 1 I(A)	Voie 2 	Voie 3 	Voie 4 	Voie 5 	Voie 6 	Voie 7 	Voie 0 volts	Voie 1 volts	Voie 2 volts	Voie 3 volts	Voie 4 volts 	Voie 5 volts	Voie 6 volts	Voie 7 volts	Incident n?	Incident txt
1	09/10/2013	09:11:42	0.00	9.0492592	1.3636712	0	0	0	0	0	0	9.067393	1.312302	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0	
2	09/10/2013	09:11:42	0.10	9.0500002	1.3638299	0	0	0	0	0	0	9.068136	1.312456	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0	
3	09/10/2013	09:11:42	0.20	9.0510921	1.3638742	0	0	0	0	0	0	9.069231	1.312499	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0	
4	09/10/2013	09:11:42	0.30	9.0508537	1.3635349	0	0	0	0	0	0	9.068993	1.312170	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0	
5	09/10/2013	09:11:42	0.40	9.0497150	1.3634731	0	0	0	0	0	0	9.067850	1.312110	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0	
6	09/10/2013	09:11:42	0.50	9.0496531	1.3636271	0	0	0	0	0	0	9.067788	1.312259	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0	
7	09/10/2013	09:11:42	0.60	9.0498152	1.3635498	0	0	0	0	0	0	9.067951	1.312184	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0	
8	09/10/2013	09:11:42	0.70	9.0509548	1.3638824	0	0	0	0	0	0	9.069093	1.312507	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0	
9	09/10/2013	09:11:42	0.80	9.0521584	1.3635124	0	0	0	0	0	0	9.070299	1.312148	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0	
10	09/10/2013	09:11:42	0.90	9.0525522	1.3634471	0	0	0	0	0	0	9.070694	1.312085	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0	
11	09/10/2013	09:11:43	1.00	9.0528126	1.3637224	0	0	0	0	0	0	9.070954	1.312352	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0	
12	09/10/2013	09:11:43	1.10	9.0531445	1.3636738	0	0	0	0	0	0	9.071287	1.312305	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0	
13	09/10/2013	09:11:43	1.20	9.0539742	1.3636113	0	0	0	0	0	0	9.072119	1.312244	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0	
14	09/10/2013	09:11:43	1.30	9.0544853	1.3638834	0	0	0	0	0	0	9.072630	1.312508	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0	
15	09/10/2013	09:11:43	1.40	9.0548229	1.3637309	0	0	0	0	0	0	9.072968	1.312360	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0	
16	09/10/2013	09:11:43	1.50	9.0551910	1.3636786	0	0	0	0	0	0	9.073338	1.312309	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0	
17	09/10/2013	09:11:43	1.60	9.0555859	1.3636661	0	0	0	0	0	0	9.073733	1.312297	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0	
18	09/10/2013	09:11:43	1.70	9.0557461	1.3638937	0	0	0	0	0	0	9.073895	1.312518	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0	
