CaptureSignal II -  INSA de Lyon - MATEIS / SGM - JF -  2007 -
Utilisateur: 

Description: 

N°	Date	Heure	Temps (s)	Voie 0 T éch(°C)	Voie 1 T Four(°C)	Voie 2 DL (1/10 mm)	Voie 3 	Voie 4 	Voie 5 	Voie 6 	Voie 7 	Voie 0 volts	Voie 1 volts	Voie 2 volts	Voie 3 volts	Voie 4 volts 	Voie 5 volts	Voie 6 volts	Voie 7 volts	Incident n°	Incident txt
1	30-09-2015	09:16:45	0.00	128.1	142.5	-0.001	0	0	0	0	0	-0.491489	-0.509752	-0.000888	0.000000	0.000000	0.000000	0.000000	0.000000	0		
2	30-09-2015	09:16:50	5.00	128.3	142.5	-0.001	0	0	0	0	0	-0.491761	-0.509765	-0.000810	0.000000	0.000000	0.000000	0.000000	0.000000	0		
3	30-09-2015	09:16:55	10.00	128.5	142.5	-0.001	0	0	0	0	0	-0.492035	-0.509811	-0.000645	0.000000	0.000000	0.000000	0.000000	0.000000	0		
4	30-09-2015	09:17:00	15.00	128.7	142.5	-0.001	0	0	0	0	0	-0.492240	-0.509824	-0.000564	0.000000	0.000000	0.000000	0.000000	0.000000	0		
5	30-09-2015	09:17:05	20.00	128.9	142.5	-0.000	0	0	0	0	0	-0.492501	-0.509874	-0.000282	0.000000	0.000000	0.000000	0.000000	0.000000	0		
6	30-09-2015	09:17:10	25.00	129.1	142.6	0.000	0	0	0	0	0	-0.492769	-0.509882	-0.000077	0.000000	0.000000	0.000000	0.000000	0.000000	0		
7	30-09-2015	09:17:15	30.00	129.2	142.6	0.000	0	0	0	0	0	-0.492973	-0.509899	0.000020	0.000000	0.000000	0.000000	0.000000	0.000000	0		
8	30-09-2015	09:17:20	35.00	129.4	142.6	0.000	0	0	0	0	0	-0.493203	-0.509976	0.000020	0.000000	0.000000	0.000000	0.000000	0.000000	0		
9	30-09-2015	09:17:25	40.00	129.6	142.7	0.000	0	0	0	0	0	-0.493411	-0.510005	0.000283	0.000000	0.000000	0.000000	0.000000	0.000000	0		
10	30-09-2015	09:17:30	45.00	129.8	142.7	0.000	0	0	0	0	0	-0.493672	-0.510014	0.000404	0.000000	0.000000	0.000000	0.000000	0.000000	0		
11	30-09-2015	09:17:36	50.00	130.0	142.7	0.001	0	0	0	0	0	-0.493903	-0.510027	0.000552	0.000000	0.000000	0.000000	0.000000	0.000000	0		
12	30-09-2015	09:17:41	55.00	130.1	142.7	0.001	0	0	0	0	0	-0.494123	-0.510059	0.000728	0.000000	0.000000	0.000000	0.000000	0.000000	0		
13	30-09-2015	09:17:46	60.00	130.3	142.7	0.001	0	0	0	0	0	-0.494365	-0.510054	0.000909	0.000000	0.000000	0.000000	0.000000	0.000000	0		
14	30-09-2015	09:17:51	65.00	130.5	142.7	0.001	0	0	0	0	0	-0.494599	-0.510116	0.000982	0.000000	0.000000	0.000000	0.000000	0.000000	0		
15	30-09-2015	09:17:56	70.00	130.7	142.8	0.001	0	0	0	0	0	-0.494819	-0.510130	0.001101	0.000000	0.000000	0.000000	0.000000	0.000000	0		
16	30-09-2015	09:18:01	75.00	130.9	142.8	0.001	0	0	0	0	0	-0.495034	-0.510150	0.001237	0.000000	0.000000	0.000000	0.000000	0.000000	0		
17	30-09-2015	09:18:06	80.00	131.0	142.8	0.001	0	0	0	0	0	-0.495266	-0.510194	0.001316	0.000000	0.000000	0.000000	0.000000	0.000000	0		
18	30-09-2015	09:18:11	85.00	131.2	142.8	0.002	0	0	0	0	0	-0.495457	-0.510208	0.001531	0.000000	0.000000	0.000000	0.000000	0.000000	0		
19	30-09-2015	09:18:16	90.00	131.4	142.9	0.002	0	0	0	0	0	-0.495692	-0.510264	0.001626	0.000000	0.000000	0.000000	0.000000	0.000000	0		
20	30-09-2015	09:18:21	95.00	131.5	142.9	0.002	0	0	0	0	0	-0.495866	-0.510267	0.001744	0.000000	0.000000	0.000000	0.000000	0.000000	0		
21	30-09-2015	09:18:26	100.00	131.7	142.9	0.002	0	0	0	0	0	-0.496082	-0.510280	0.001829	0.000000	0.000000	0.000000	0.000000	0.000000	0		
22	30-09-2015	09:18:31	105.00	131.9	142.9	0.002	0	0	0	0	0	-0.496285	-0.510295	0.001964	0.000000	0.000000	0.000000	0.000000	0.000000	0		
23	30-09-2015	09:18:36	110.00	132.0	142.9	0.002	0	0	0	0	0	-0.496479	-0.510351	0.002049	0.000000	0.000000	0.000000	0.000000	0.000000	0		
24	30-09-2015	09:18:41	115.00	132.2	142.9	0.002	0	0	0	0	0	-0.496709	-0.510368	0.002208	0.000000	0.000000	0.000000	0.000000	0.000000	0		
25	30-09-2015	09:18:46	120.00	132.4	142.9	0.002	0	0	0	0	0	-0.496923	-0.510381	0.002369	0.000000	0.000000	0.000000	0.000000	0.000000	0		
26	30-09-2015	09:18:51	125.00	132.5	143.0	0.002	0	0	0	0	0	-0.497169	-0.510401	0.002450	0.000000	0.000000	0.000000	0.000000	0.000000	0		
27	30-09-2015	09:18:56	130.00	132.7	143.0	0.003	0	0	0	0	0	-0.497393	-0.510425	0.002612	0.000000	0.000000	0.000000	0.000000	0.000000	0		
28	30-09-2015	09:19:01	135.00	132.9	143.0	0.003	0	0	0	0	0	-0.497617	-0.510477	0.002809	0.000000	0.000000	0.000000	0.000000	0.000000	0		
29	30-09-2015	09:19:06	140.00	133.0	143.0	0.003	0	0	0	0	0	-0.497806	-0.510463	0.002852	0.000000	0.000000	0.000000	0.000000	0.000000	0		
30	30-09-2015	09:19:11	145.00	133.2	143.0	0.003	0	0	0	0	0	-0.498027	-0.510474	0.002912	0.000000	0.000000	0.000000	0.000000	0.000000	0		
31	30-09-2015	09:19:16	150.00	133.3	143.1	0.003	0	0	0	0	0	-0.498177	-0.510510	0.002984	0.000000	0.000000	0.000000	0.000000	0.000000	0		
32	30-09-2015	09:19:21	155.00	133.5	143.1	0.003	0	0	0	0	0	-0.498352	-0.510532	0.003149	0.000000	0.000000	0.000000	0.000000	0.000000	0		
33	30-09-2015	09:19:26	160.00	133.6	143.1	0.003	0	0	0	0	0	-0.498523	-0.510567	0.003137	0.000000	0.000000	0.000000	0.000000	0.000000	0		
34	30-09-2015	09:19:31	165.00	133.8	143.1	0.003	0	0	0	0	0	-0.498711	-0.510577	0.003367	0.000000	0.000000	0.000000	0.000000	0.000000	0		
35	30-09-2015	09:19:36	170.00	133.9	143.1	0.003	0	0	0	0	0	-0.498888	-0.510610	0.003471	0.000000	0.000000	0.000000	0.000000	0.000000	0		
36	30-09-2015	09:19:41	175.00	134.0	143.2	0.003	0	0	0	0	0	-0.499042	-0.510644	0.003491	0.000000	0.000000	0.000000	0.000000	0.000000	0		
37	30-09-2015	09:19:46	180.00	134.2	143.2	0.004	0	0	0	0	0	-0.499235	-0.510649	0.003663	0.000000	0.000000	0.000000	0.000000	0.000000	0		
38	30-09-2015	09:19:51	185.00	134.3	143.2	0.004	0	0	0	0	0	-0.499369	-0.510676	0.003795	0.000000	0.000000	0.000000	0.000000	0.000000	0		
39	30-09-2015	09:19:56	190.00	134.4	143.2	0.004	0	0	0	0	0	-0.499559	-0.510697	0.003866	0.000000	0.000000	0.000000	0.000000	0.000000	0		
40	30-09-2015	09:20:01	195.00	134.6	143.2	0.004	0	0	0	0	0	-0.499715	-0.510731	0.003891	0.000000	0.000000	0.000000	0.000000	0.000000	0		
41	30-09-2015	09:20:06	200.00	134.7	143.2	0.004	0	0	0	0	0	-0.499859	-0.510759	0.004047	0.000000	0.000000	0.000000	0.000000	0.000000	0		
42	30-09-2015	09:20:11	205.00	134.8	143.2	0.004	0	0	0	0	0	-0.500011	-0.510756	0.004141	0.000000	0.000000	0.000000	0.000000	0.000000	0		
43	30-09-2015	09:20:16	210.00	134.9	143.3	0.004	0	0	0	0	0	-0.500187	-0.510777	0.004204	0.000000	0.000000	0.000000	0.000000	0.000000	0		
44	30-09-2015	09:20:21	215.00	135.0	143.3	0.004	0	0	0	0	0	-0.500347	-0.510792	0.004229	0.000000	0.000000	0.000000	0.000000	0.000000	0		
45	30-09-2015	09:20:26	220.00	135.2	143.3	0.004	0	0	0	0	0	-0.500514	-0.510795	0.004459	0.000000	0.000000	0.000000	0.000000	0.000000	0		
46	30-09-2015	09:20:31	225.00	135.3	143.3	0.004	0	0	0	0	0	-0.500637	-0.510808	0.004406	0.000000	0.000000	0.000000	0.000000	0.000000	0		
47	30-09-2015	09:20:36	230.00	135.4	143.3	0.004	0	0	0	0	0	-0.500757	-0.510837	0.004433	0.000000	0.000000	0.000000	0.000000	0.000000	0		
48	30-09-2015	09:20:41	235.00	135.5	143.3	0.005	0	0	0	0	0	-0.500934	-0.510841	0.004629	0.000000	0.000000	0.000000	0.000000	0.000000	0		
49	30-09-2015	09:20:46	240.00	135.6	143.3	0.005	0	0	0	0	0	-0.501095	-0.510872	0.004763	0.000000	0.000000	0.000000	0.000000	0.000000	0		
50	30-09-2015	09:20:51	245.00	135.7	143.3	0.005	0	0	0	0	0	-0.501199	-0.510888	0.004724	0.000000	0.000000	0.000000	0.000000	0.000000	0		
51	30-09-2015	09:20:56	250.00	135.9	143.4	0.005	0	0	0	0	0	-0.501406	-0.510916	0.004767	0.000000	0.000000	0.000000	0.000000	0.000000	0		
52	30-09-2015	09:21:01	255.00	136.0	143.4	0.005	0	0	0	0	0	-0.501574	-0.510926	0.004972	0.000000	0.000000	0.000000	0.000000	0.000000	0		
53	30-09-2015	09:21:06	260.00	136.1	143.4	0.005	0	0	0	0	0	-0.501659	-0.510914	0.005143	0.000000	0.000000	0.000000	0.000000	0.000000	0		
54	30-09-2015	09:21:11	265.00	136.2	143.4	0.005	0	0	0	0	0	-0.501805	-0.510935	0.005190	0.000000	0.000000	0.000000	0.000000	0.000000	0		
55	30-09-2015	09:21:16	270.00	136.3	143.4	0.005	0	0	0	0	0	-0.501938	-0.510976	0.005308	0.000000	0.000000	0.000000	0.000000	0.000000	0		
56	30-09-2015	09:21:21	275.00	136.4	143.4	0.005	0	0	0	0	0	-0.502098	-0.510976	0.005179	0.000000	0.000000	0.000000	0.000000	0.000000	0		
57	30-09-2015	09:21:26	280.00	136.5	143.4	0.005	0	0	0	0	0	-0.502164	-0.510997	0.005122	0.000000	0.000000	0.000000	0.000000	0.000000	0		
58	30-09-2015	09:21:31	285.00	136.6	143.4	0.005	0	0	0	0	0	-0.502272	-0.510945	0.005358	0.000000	0.000000	0.000000	0.000000	0.000000	0		
59	30-09-2015	09:21:36	290.00	136.7	143.4	0.005	0	0	0	0	0	-0.502413	-0.510976	0.005467	0.000000	0.000000	0.000000	0.000000	0.000000	0		
60	30-09-2015	09:21:41	295.00	136.7	143.4	0.006	0	0	0	0	0	-0.502479	-0.510982	0.005557	0.000000	0.000000	0.000000	0.000000	0.000000	0		
61	30-09-2015	09:21:46	300.00	136.8	143.4	0.006	0	0	0	0	0	-0.502635	-0.510995	0.005566	0.000000	0.000000	0.000000	0.000000	0.000000	0		
62	30-09-2015	09:21:51	305.00	137.0	143.4	0.006	0	0	0	0	0	-0.502764	-0.511013	0.005771	0.000000	0.000000	0.000000	0.000000	0.000000	0		
63	30-09-2015	09:21:56	310.00	137.0	143.5	0.006	0	0	0	0	0	-0.502841	-0.511039	0.005680	0.000000	0.000000	0.000000	0.000000	0.000000	0		
64	30-09-2015	09:22:01	315.00	137.1	143.5	0.006	0	0	0	0	0	-0.502987	-0.511041	0.005904	0.000000	0.000000	0.000000	0.000000	0.000000	0		
65	30-09-2015	09:22:06	320.00	137.2	143.5	0.006	0	0	0	0	0	-0.503095	-0.511053	0.005887	0.000000	0.000000	0.000000	0.000000	0.000000	0		
66	30-09-2015	09:22:11	325.00	137.3	143.5	0.006	0	0	0	0	0	-0.503177	-0.511076	0.006003	0.000000	0.000000	0.000000	0.000000	0.000000	0		
67	30-09-2015	09:22:16	330.00	137.4	143.5	0.006	0	0	0	0	0	-0.503304	-0.511077	0.005926	0.000000	0.000000	0.000000	0.000000	0.000000	0		
